Limit,Age,Fam_veh,Drive_dist,Sick12,Sick24,Range_hrs,Muzzleloader,Archery,Utilized,Past_max,COUNTY
0,54,2,39.9,0,1,0,0,0,0.19,0,Greene
0,39,1,22.9,2,5,0,0,0,0.26,1,Taliaferro
0,45,1,30,1,1,0,0,0,0.16,1,Lincoln
0,51,1,36.8,2,6,0,0,0,0.17,0,Lincoln
0,48,1,33.5,1,3,0,0,0,0.13,0,Hancock
0,44,1,28.3,0,0,0,0,0,0.15,0,Lincoln
0,47,1,37.4,4,5,0,0,0,0.23,1,Lincoln
0,51,1,38,2,6,0,0,0,0.08,0,Lincoln
0,44,2,32.2,1,0,0,0,0,0.34,0,Hancock
0,48,1,36.1,2,3,0,0,0,0.29,0,Jasper
0,33,1,14.8,0,0,0,0,0,0.22,0,Lincoln
0,57,1,48.3,0,3,0,0,0,0.25,0,Lincoln
0,41,1,24.3,0,3,0,0,1,0.15,1,Greene
0,47,1,34.5,3,6,0,0,0,0.32,0,Lincoln
0,48,1,38.1,2,4,0,0,1,0.23,0,Greene
0,44,1,26.8,0,2,0,0,1,0.26,0,Taliaferro
0,49,1,34.5,3,5,0,0,0,0.21,1,Greene
0,57,2,48.8,3,3,0,0,0,0.22,0,Wilkes
0,39,1,25.7,1,2,0,0,0,0.31,0,Wilkes
0,57,2,45.5,2,5,0,0,0,0.19,0,Taliaferro
0,42,1,26.5,0,2,0,0,0,0.33,0,Wilkes
0,37,1,23.1,0,0,0,0,0,0.33,0,Jasper
0,46,1,29.8,2,5,0,0,0,0.24,0,Greene
0,49,1,33.3,0,0,0,0,0,0.13,0,Wilkes
0,44,1,32.1,4,5,0,0,0,0.22,0,Taliaferro
0,41,1,23.1,2,6,0,0,1,0.25,0,Wilkes
0,56,1,41.9,2,5,0,0,1,0.19,0,Jasper
0,59,1,50.7,2,4,0,0,0,0.24,1,Lincoln
0,49,1,33.8,0,2,0,0,1,0.32,0,Taliaferro
0,42,1,26.5,0,1,0,0,0,0.18,0,Greene
0,37,1,23.4,1,6,0,0,0,0.21,0,Lincoln
0,56,1,43.6,0,1,0,0,0,0.3,0,Jasper
0,48,1,35.3,0,1,0,0,0,0.15,0,Wilkes
0,41,1,25.2,2,5,0,0,1,0.19,0,Jasper
0,46,1,30.2,1,2,0,0,0,0.18,0,Hancock
0,49,1,36.3,3,4,0,0,0,0.17,1,Hancock
0,45,1,33.9,1,3,0,0,0,0.17,0,Jasper
0,45,1,28.7,2,1,0,0,0,0.32,0,Lincoln
0,39,1,24.3,2,1,0,0,0,0.28,0,Lincoln
0,54,1,40.9,0,0,0,0,0,0.35,0,Lincoln
0,49,2,35.6,3,4,0,0,0,0.2,0,Taliaferro
0,47,1,32.3,1,4,0,0,0,0.13,0,Taliaferro
0,41,1,24.6,2,5,0,0,0,0.14,0,Lincoln
0,43,1,32.1,0,0,0,0,0,0.29,0,Greene
0,44,1,26.2,2,4,0,0,0,0.26,0,Wilkes
0,40,2,25.3,1,1,0,0,0,0.3,0,Greene
0,45,1,31.2,2,0,9,1,0,0.22,0,Lincoln
0,44,2,29,0,0,0,0,0,0.33,0,Taliaferro
0,41,1,30.3,0,1,0,0,0,0.28,1,Greene
0,44,1,30.3,3,4,0,0,0,0.39,0,Greene
0,39,1,22.6,0,1,0,0,0,0.25,1,Jasper
0,49,1,40.8,2,3,0,0,0,0.28,0,Hancock
0,40,2,24.8,2,7,0,0,0,0.27,0,Warren
0,37,1,18,0,1,0,0,0,0.25,0,Lincoln
0,41,1,32.5,0,2,0,0,0,0.18,0,Jasper
0,39,1,22.8,0,3,0,0,0,0.24,0,Wilkes
0,44,1,27.8,0,1,0,0,0,0.28,0,Taliaferro
0,47,1,31.4,0,1,0,0,0,0.29,0,Taliaferro
0,42,1,28.1,1,0,0,0,0,0.29,0,Warren
0,39,2,22.9,2,4,0,0,0,0.15,0,Wilkes
0,46,1,30.5,3,7,0,0,0,0.3,0,Greene
0,43,2,26.5,3,3,0,0,0,0.31,1,Taliaferro
0,56,1,44.7,2,2,0,0,0,0.33,0,Warren
0,46,1,30.1,4,6,0,0,0,0.25,1,Taliaferro
0,44,1,32.1,5,9,0,0,0,0.19,0,Lincoln
0,43,1,26.9,1,4,0,0,0,0.18,0,Warren
0,43,1,26.6,2,2,0,0,0,0.26,0,Wilkes
0,39,1,21.3,0,0,0,0,0,0.34,0,Lincoln
0,49,1,35,0,0,0,0,0,0.17,1,Jasper
0,41,1,27.9,0,2,0,0,0,0.28,1,Greene
0,47,1,30.1,1,0,0,0,0,0.33,1,Lincoln
0,51,2,37.8,1,2,0,0,0,0.17,0,Lincoln
0,42,1,31.8,1,2,0,0,0,0.23,1,Warren
0,47,1,30.5,4,6,0,0,0,0.24,0,Hancock
0,41,1,24.4,3,4,0,0,1,0.28,0,Greene
0,36,2,23.2,0,0,0,0,0,0.21,0,Hancock
0,43,1,27.6,0,1,0,0,0,0.26,1,Warren
0,42,1,28.9,2,0,0,0,0,0.21,0,Greene
0,44,1,31.6,0,3,0,0,1,0.28,1,Jasper
0,42,1,28.6,3,4,0,0,0,0.31,0,Warren
0,49,1,40.2,3,5,0,0,0,0.23,0,Wilkes
0,50,1,42.6,1,1,0,0,0,0.29,0,Taliaferro
0,43,1,25.3,4,6,0,0,0,0.29,0,Warren
0,40,1,21.5,1,6,0,0,0,0.12,1,Taliaferro
0,53,1,39,0,0,0,0,0,0.21,0,Lincoln
0,39,1,26.7,1,0,0,0,0,0.27,1,Taliaferro
0,42,1,30.7,3,6,0,0,1,0.26,0,Greene
0,43,1,27.4,5,7,0,0,1,0.29,0,Lincoln
0,49,1,33.9,0,1,0,0,0,0.2,1,Hancock
0,44,1,27.1,1,0,0,0,0,0.25,0,Warren
0,44,2,27.9,1,1,0,0,0,0.27,0,Lincoln
0,54,1,39,0,2,0,0,0,0.28,0,Jasper
0,52,2,41,0,1,0,0,0,0.23,1,Lincoln
0,56,2,42.5,0,0,0,0,0,0.17,1,Wilkes
0,44,1,26.7,0,1,0,0,1,0.22,0,Hancock
0,39,1,22.3,0,0,0,0,0,0.24,0,Hancock
0,47,2,32.5,0,0,0,0,0,0.35,0,Greene
0,50,1,35.7,1,2,0,0,0,0.09,0,Wilkes
0,44,1,28.6,0,1,0,0,0,0.24,0,Lincoln
0,50,1,41.4,0,1,0,0,0,0.18,0,Greene
0,43,2,27.6,3,6,0,0,0,0.3,0,Lincoln
0,39,1,22,2,4,0,0,0,0.29,0,Lincoln
0,36,1,17.7,3,4,0,0,0,0.39,1,Hancock
0,42,1,34.7,2,2,0,0,0,0.3,0,Hancock
0,36,1,24,0,1,0,0,0,0.24,0,Lincoln
0,46,1,30.6,3,5,0,0,1,0.1,0,Jasper
0,52,1,41.5,2,5,0,0,0,0.21,0,Wilkes
0,46,1,31.5,3,7,0,0,0,0.26,1,Jasper
0,42,1,25.5,5,10,0,0,0,0.32,0,Hancock
0,50,2,34.8,4,3,0,0,0,0.27,0,Lincoln
0,46,2,28.4,2,3,0,0,0,0.36,0,Taliaferro
0,46,1,29.9,0,2,0,0,0,0.24,0,Lincoln
0,40,2,22.5,0,2,0,0,0,0.3,0,Taliaferro
0,42,1,26.2,0,0,0,0,0,0.34,0,Jasper
0,46,1,29.4,0,1,0,0,0,0.4,0,Hancock
0,43,1,26.1,3,5,0,0,0,0.33,1,Jasper
0,50,1,35.2,0,0,0,0,0,0.17,0,Warren
0,52,1,39,3,4,0,0,1,0.41,1,Greene
0,49,2,33.3,0,1,0,0,1,0.25,1,Hancock
0,41,2,25.9,0,0,0,0,1,0.34,1,Greene
0,48,1,37.5,2,3,0,0,0,0.21,1,Warren
0,40,3,25.7,5,8,0,0,0,0.32,0,Taliaferro
0,40,1,23.6,4,4,0,0,0,0.27,1,Warren
0,46,1,29.6,3,3,0,0,0,0.16,0,Jasper
0,37,1,22.3,0,0,0,0,0,0.36,1,Taliaferro
0,50,2,38.2,0,0,0,0,0,0.28,0,Wilkes
0,35,1,19.4,5,6,0,0,0,0.3,1,Jasper
0,45,1,28.5,0,0,0,0,0,0.28,0,Hancock
0,42,1,26.1,3,4,0,0,0,0.3,0,Greene
0,45,1,29.9,0,0,0,0,0,0.26,0,Jasper
0,38,1,18.8,0,0,0,0,0,0.25,0,Lincoln
0,46,1,32.4,3,3,0,0,0,0.4,0,Lincoln
0,41,1,25.6,2,3,0,0,0,0.25,0,Hancock
0,47,1,32.8,1,1,0,0,0,0.25,0,Greene
0,51,1,35.4,0,0,0,0,0,0.26,0,Wilkes
0,34,2,21,0,0,0,0,0,0.33,0,Jasper
0,42,1,26.4,0,0,0,0,1,0.27,1,Taliaferro
0,43,1,25.2,2,0,0,0,0,0.32,1,Wilkes
0,51,1,38.2,1,2,0,0,1,0.25,0,Taliaferro
0,51,1,36.4,3,7,0,0,0,0.28,0,Greene
0,52,2,40.5,0,1,0,0,0,0.29,0,Lincoln
0,45,1,31.9,2,3,0,0,1,0.18,0,Warren
0,46,1,34.7,3,4,0,0,0,0.34,0,Hancock
0,37,1,21.2,4,8,0,0,0,0.21,1,Greene
0,35,1,16.7,0,0,0,0,0,0.25,0,Lincoln
0,40,1,22.1,1,3,0,0,0,0.22,1,Warren
0,50,1,34.4,2,4,0,0,0,0.29,0,Taliaferro
0,44,1,30.5,0,0,0,0,0,0.24,1,Jasper
0,44,1,27.3,1,2,0,0,0,0.37,1,Warren
0,42,1,25,0,0,0,0,0,0.24,0,Lincoln
0,37,1,21.1,2,4,0,0,0,0.36,0,Warren
0,49,1,33.4,2,0,0,0,0,0.29,0,Hancock
0,39,2,28,6,10,0,0,0,0.21,0,Greene
0,48,1,37.7,1,1,0,0,0,0.22,1,Wilkes
0,34,1,22,0,2,0,0,0,0.39,0,Warren
0,41,2,25.4,0,0,0,0,1,0.31,0,Lincoln
0,41,1,27.3,0,0,0,0,0,0.35,0,Hancock
0,48,1,31.6,0,0,0,0,0,0.31,0,Jasper
0,45,1,30.2,3,4,0,0,0,0.22,1,Hancock
0,46,1,34.4,0,2,0,0,0,0.3,0,Lincoln
0,47,1,32,0,1,0,0,0,0.33,0,Wilkes
0,51,1,35.5,2,5,0,0,1,0.24,1,Hancock
0,50,1,36.8,0,2,0,0,0,0.28,0,Hancock
0,53,1,38,2,4,0,0,0,0.17,0,Taliaferro
0,48,1,34,0,3,0,0,0,0.16,0,Warren
0,51,1,36.4,3,4,0,0,0,0.29,0,Hancock
0,35,1,17.8,0,0,0,0,0,0.28,0,Taliaferro
0,46,1,29.2,0,1,0,0,0,0.34,1,Taliaferro
0,43,2,27.5,2,2,0,0,0,0.23,0,Warren
0,43,1,27.7,0,1,0,0,0,0.24,0,Wilkes
0,52,2,41.2,0,3,0,0,0,0.34,0,Wilkes
0,45,2,29.9,2,5,0,0,0,0.25,0,Greene
0,36,1,16.7,3,5,0,0,0,0.26,0,Hancock
0,51,1,36.4,2,5,0,0,0,0.24,0,Taliaferro
0,35,2,19.2,0,2,0,0,0,0.25,0,Taliaferro
0,50,1,34,0,1,0,0,0,0.31,0,Jasper
0,43,2,28.3,1,1,0,0,0,0.23,0,Lincoln
0,45,1,29.1,4,7,0,0,0,0.26,0,Lincoln
0,45,1,30.2,4,7,0,0,0,0.23,0,Hancock
0,51,1,37.9,4,8,0,0,0,0.23,1,Wilkes
0,51,2,34.9,3,6,0,0,0,0.3,0,Jasper
0,43,1,25.8,3,3,0,0,0,0.28,0,Jasper
0,43,1,28.5,0,0,0,0,0,0.24,1,Taliaferro
0,42,1,24.9,0,2,0,0,0,0.33,0,Warren
0,42,1,25.1,0,0,0,0,0,0.33,1,Greene
0,49,1,34.6,1,1,0,0,0,0.2,1,Warren
0,57,1,46.3,0,0,0,0,0,0.34,0,Lincoln
0,40,1,24.1,0,2,0,0,0,0.28,0,Greene
0,44,1,26,0,0,0,0,0,0.33,0,Warren
0,47,1,29.9,0,3,0,0,1,0.37,1,Wilkes
0,46,2,32,0,2,0,0,0,0.16,1,Taliaferro
0,43,1,24.7,4,5,0,0,0,0.34,0,Jasper
0,47,1,35.2,0,0,0,0,0,0.29,0,Wilkes
0,48,1,32.1,0,0,0,0,0,0.27,1,Jasper
0,52,1,37.2,0,4,0,0,0,0.33,1,Wilkes
0,53,1,38.5,4,5,0,0,0,0.39,0,Lincoln
0,46,1,30.7,0,0,0,0,0,0.32,1,Warren
0,54,1,39.9,0,0,0,0,0,0.3,1,Taliaferro
0,42,1,24.7,1,0,0,0,0,0.29,0,Warren
0,50,1,37.5,2,4,0,0,1,0.32,1,Greene
0,41,1,24.2,2,4,0,0,0,0.33,0,Greene
0,44,1,28.5,2,2,0,0,0,0.15,0,Lincoln
0,47,1,29.9,0,1,0,0,1,0.29,1,Wilkes
0,40,1,25.3,4,6,0,0,1,0.34,0,Lincoln
0,46,1,29.5,2,2,0,0,0,0.26,0,Greene
0,46,1,32,0,0,0,0,0,0.35,0,Taliaferro
0,38,1,24.8,0,1,0,0,0,0.33,0,Taliaferro
0,35,1,17.2,0,1,0,0,0,0.35,0,Lincoln
0,45,1,29.3,3,4,0,0,0,0.3,0,Warren
0,42,1,24.2,4,11,0,0,0,0.27,0,Wilkes
0,45,1,31.6,3,5,0,0,0,0.44,0,Warren
0,47,1,32.2,2,3,0,0,0,0.15,0,Greene
0,45,1,29.3,3,7,0,0,0,0.28,1,Jasper
0,46,1,31.2,0,0,0,0,0,0.32,0,Jasper
0,38,1,21.2,2,6,0,0,0,0.26,0,Taliaferro
0,49,1,32.7,0,2,0,0,0,0.32,0,Greene
0,44,1,26.9,2,5,0,0,0,0.2,0,Taliaferro
0,41,1,29.3,2,6,0,0,0,0.24,0,Jasper
0,40,1,26.5,2,4,0,0,0,0.34,1,Warren
0,51,1,41,3,5,0,0,0,0.28,0,Jasper
0,40,1,24.2,0,3,0,0,0,0.28,0,Greene
0,41,2,32.2,0,0,0,0,0,0.37,0,Wilkes
0,53,1,41.6,0,1,0,0,0,0.3,0,Taliaferro
0,47,1,34.9,1,4,0,0,0,0.28,0,Lincoln
0,49,1,33.4,2,4,0,0,0,0.3,1,Jasper
0,41,1,24,1,4,0,0,0,0.29,0,Wilkes
0,47,1,31.3,3,4,0,0,0,0.25,1,Lincoln
0,38,1,21.5,2,4,0,0,0,0.25,0,Lincoln
0,43,1,28.9,2,4,0,0,0,0.35,0,Jasper
0,42,1,25.8,0,1,0,0,0,0.27,0,Taliaferro
0,45,1,31.6,1,4,0,0,0,0.32,0,Taliaferro
0,44,1,28.8,6,10,0,0,0,0.25,0,Jasper
0,46,1,34.2,0,0,0,0,0,0.38,0,Warren
0,39,2,24.4,0,0,0,0,0,0.29,0,Warren
0,44,1,27.1,0,0,0,0,0,0.35,0,Warren
0,49,1,35.9,0,2,0,0,0,0.28,0,Lincoln
0,47,1,32.6,0,1,0,0,0,0.29,0,Wilkes
0,43,1,28.1,6,9,0,0,0,0.23,0,Wilkes
0,44,1,29.5,7,11,0,0,0,0.29,0,Hancock
0,36,1,21.8,1,2,0,0,0,0.35,1,Lincoln
0,44,1,27.4,1,1,0,0,0,0.23,0,Hancock
0,46,2,36.2,2,3,0,0,0,0.3,1,Wilkes
0,49,1,35.2,1,3,0,0,1,0.28,0,Lincoln
0,55,1,40.8,5,7,0,0,0,0.25,0,Hancock
0,43,2,25.2,2,5,0,0,0,0.41,0,Hancock
0,49,1,38,0,2,0,0,1,0.32,0,Wilkes
0,43,1,25.2,4,7,0,0,0,0.24,0,Taliaferro
0,44,3,33.2,6,9,0,0,1,0.25,0,Hancock
0,40,1,27.8,1,5,0,0,1,0.23,0,Jasper
0,41,1,31.7,2,0,0,0,0,0.34,0,Jasper
0,46,1,30.6,0,0,0,0,1,0.28,0,Hancock
0,52,1,38.7,2,5,0,0,0,0.21,1,Taliaferro
0,46,1,29.2,0,0,0,0,0,0.16,0,Taliaferro
0,53,1,44.3,2,5,0,0,0,0.29,1,Jasper
0,47,1,32.8,2,7,0,0,0,0.32,1,Lincoln
0,50,1,35.4,0,4,0,0,1,0.19,0,Greene
0,32,1,16.5,4,6,0,0,0,0.19,0,Jasper
0,45,1,28.1,0,0,0,0,0,0.32,1,Hancock
0,50,1,38.1,1,2,0,0,0,0.28,0,Jasper
0,41,1,22.7,2,4,0,0,0,0.22,0,Taliaferro
0,47,1,31,0,0,0,0,0,0.19,0,Hancock
0,37,1,17.9,0,0,0,0,0,0.19,1,Greene
0,51,1,37.9,1,1,0,0,0,0.31,0,Hancock
0,40,1,26.9,5,8,0,0,0,0.4,1,Hancock
0,44,1,31.1,0,0,0,0,0,0.31,0,Lincoln
0,40,2,23.6,1,2,0,0,0,0.39,0,Lincoln
0,44,1,27.2,3,3,0,0,0,0.25,0,Greene
0,48,1,34.7,1,5,0,0,1,0.3,0,Warren
0,39,2,21.1,2,0,0,0,0,0.22,0,Greene
0,51,1,35.8,1,2,0,0,0,0.22,0,Greene
0,54,1,40.3,0,0,0,0,0,0.32,0,Taliaferro
0,41,1,23,0,0,0,0,0,0.38,1,Lincoln
0,38,1,21.7,0,0,0,0,0,0.31,0,Warren
0,43,1,29.5,0,0,0,0,0,0.36,0,Warren
0,45,1,29.7,2,4,0,0,1,0.27,0,Wilkes
0,46,2,29.3,1,0,0,0,0,0.3,1,Warren
0,47,1,33.3,0,0,0,0,0,0.21,1,Jasper
0,43,1,26.3,2,5,0,0,0,0.22,0,Warren
0,44,1,28.3,2,1,0,0,1,0.19,0,Wilkes
0,44,1,28.6,0,0,0,0,1,0.27,0,Wilkes
0,44,1,28.2,0,2,0,0,0,0.31,1,Hancock
0,45,2,27.6,5,9,0,0,0,0.34,0,Greene
0,37,1,22.3,1,5,0,0,0,0.25,0,Taliaferro
0,52,1,36.5,3,3,0,0,0,0.28,0,Greene
0,45,1,29.9,2,2,0,0,0,0.3,0,Wilkes
0,40,2,24.6,0,1,0,0,0,0.32,0,Wilkes
0,50,2,34.4,2,2,0,0,0,0.25,0,Jasper
0,37,1,18.7,0,0,0,0,0,0.28,1,Hancock
0,49,1,35,0,1,0,0,0,0.34,1,Wilkes
0,45,1,30.6,7,10,0,0,0,0.31,0,Lincoln
0,48,1,33.9,0,2,0,0,0,0.31,0,Hancock
0,45,2,30.5,3,3,0,0,0,0.26,1,Lincoln
0,42,2,28.9,0,0,0,0,0,0.31,0,Jasper
0,43,1,29.3,4,6,0,0,0,0.28,0,Taliaferro
0,45,1,35.4,0,0,0,0,1,0.31,1,Warren
0,47,1,32.1,1,2,0,0,1,0.25,0,Taliaferro
0,51,1,36,5,8,0,0,0,0.28,0,Wilkes
0,47,2,30.2,2,3,0,0,0,0.25,0,Taliaferro
0,52,1,37.4,0,0,0,0,0,0.35,0,Greene
0,41,1,24.1,0,0,0,0,0,0.33,0,Lincoln
0,40,1,26.2,1,2,0,0,0,0.26,0,Hancock
0,31,2,14.2,0,0,0,0,0,0.31,0,Taliaferro
0,48,2,32.1,0,1,0,0,1,0.38,1,Wilkes
0,50,1,37.2,1,4,0,0,0,0.19,0,Taliaferro
0,52,1,37,0,0,0,0,0,0.34,0,Hancock
0,49,1,32.2,6,11,0,0,0,0.27,0,Warren
0,45,1,27.7,3,4,0,0,0,0.26,1,Jasper
0,47,1,32.6,0,2,0,0,0,0.35,0,Lincoln
0,42,1,25.5,4,9,0,0,0,0.37,1,Warren
0,50,1,33.5,3,6,0,0,0,0.3,0,Greene
0,46,1,28.7,4,2,0,0,0,0.27,0,Lincoln
0,41,1,23.6,0,0,0,0,1,0.33,0,Warren
0,47,2,32.4,1,3,0,0,0,0.27,1,Warren
0,46,1,29.2,0,2,0,0,0,0.31,1,Wilkes
0,48,2,35.5,3,6,0,0,0,0.36,0,Hancock
0,37,2,18.4,4,7,0,0,0,0.26,0,Warren
0,46,1,29.7,2,6,0,0,0,0.44,0,Jasper
0,51,1,39.2,0,0,0,0,0,0.28,1,Taliaferro
0,43,1,26.6,1,3,0,0,0,0.26,1,Wilkes
0,34,1,18.1,0,0,0,0,0,0.25,0,Hancock
0,46,1,32.4,2,6,0,0,0,0.25,0,Hancock
0,53,1,40.2,3,4,0,0,0,0.29,1,Warren
0,50,2,37.9,4,5,0,0,1,0.34,0,Taliaferro
0,40,1,22.7,0,1,0,0,0,0.32,0,Wilkes
0,36,1,17.4,5,10,0,0,0,0.3,0,Wilkes
0,43,1,26.1,1,3,0,0,0,0.29,0,Jasper
0,47,1,31.1,2,4,0,0,0,0.37,1,Warren
0,45,1,31.2,5,7,0,0,1,0.25,1,Lincoln
0,45,1,31.5,0,2,0,0,0,0.26,1,Taliaferro
0,40,1,23.3,2,4,0,0,0,0.23,1,Greene
0,50,1,40.9,1,2,0,0,0,0.24,1,Greene
0,49,2,32.6,1,2,0,0,1,0.3,0,Warren
0,48,1,32.3,0,0,0,0,0,0.3,0,Taliaferro
0,45,1,30.9,1,3,0,0,0,0.45,1,Wilkes
0,51,1,41,1,1,0,0,0,0.25,0,Hancock
0,52,1,38.2,4,6,0,0,0,0.36,0,Lincoln
0,57,1,44.4,4,6,0,0,0,0.34,0,Wilkes
0,42,1,24.1,1,5,0,0,0,0.37,1,Hancock
0,42,1,24.9,0,0,0,0,0,0.29,0,Hancock
0,48,1,35.7,1,2,0,0,0,0.37,1,Wilkes
0,48,1,33.5,2,3,0,0,0,0.17,0,Wilkes
0,49,1,32.4,4,8,0,0,0,0.29,0,Taliaferro
0,39,1,28.9,6,10,0,0,1,0.25,1,Lincoln
0,43,1,29.6,1,3,0,0,0,0.29,0,Wilkes
0,43,1,28.5,4,5,0,0,1,0.26,0,Lincoln
0,40,1,22.9,4,7,0,0,0,0.33,0,Warren
0,38,1,19.3,0,0,0,0,0,0.34,0,Taliaferro
0,44,1,27.3,2,6,0,0,0,0.29,0,Greene
0,45,1,33.6,4,7,0,0,0,0.27,1,Wilkes
0,43,1,30.9,3,7,0,0,0,0.3,0,Jasper
0,42,1,25.7,3,6,0,0,0,0.33,0,Lincoln
0,37,1,20.5,2,4,0,0,0,0.36,0,Wilkes
0,46,1,29.6,1,2,0,0,0,0.3,0,Hancock
0,49,1,32.4,1,2,0,0,1,0.32,0,Jasper
0,44,1,30.7,0,1,0,0,0,0.31,1,Hancock
0,42,1,25.5,0,0,0,0,1,0.29,0,Jasper
0,48,1,33.2,1,2,0,0,0,0.23,0,Warren
0,42,2,24.6,0,3,0,0,0,0.28,1,Lincoln
0,45,1,29.5,1,3,0,0,0,0.31,1,Greene
0,43,1,27,2,2,0,0,0,0.37,1,Jasper
0,49,2,34.1,0,2,0,0,0,0.34,0,Hancock
0,37,1,22.6,0,3,0,0,1,0.24,0,Hancock
0,40,2,23.8,2,4,0,0,0,0.46,0,Hancock
0,50,2,34.6,2,3,0,0,0,0.24,1,Greene
0,43,1,27.1,2,3,0,0,0,0.31,0,Wilkes
0,45,1,28.4,0,0,0,0,0,0.3,1,Lincoln
0,46,1,35.2,2,3,0,0,0,0.3,0,Taliaferro
0,36,1,17.2,0,1,0,0,1,0.38,0,Jasper
0,49,1,36,0,0,0,0,0,0.33,0,Lincoln
0,41,1,24,3,4,0,0,0,0.33,1,Lincoln
0,48,1,34.7,6,11,0,0,0,0.27,1,Warren
0,41,1,25.9,1,0,0,0,0,0.26,0,Wilkes
0,42,1,26.7,0,1,0,0,0,0.31,0,Taliaferro
0,37,2,24.7,0,1,0,0,0,0.4,0,Jasper
0,42,1,29.2,0,0,0,0,0,0.27,0,Wilkes
0,44,1,29,4,10,0,0,0,0.33,1,Jasper
0,43,1,26.6,0,0,0,0,0,0.35,1,Lincoln
0,45,1,28.6,4,8,0,0,0,0.43,0,Warren
0,50,1,37.3,1,2,0,0,0,0.38,0,Taliaferro
0,42,1,28,3,6,0,0,1,0.31,0,Greene
0,37,1,20.9,0,0,0,0,0,0.31,0,Jasper
0,54,1,39.3,3,8,0,0,0,0.3,0,Hancock
0,52,1,40.5,4,10,0,0,0,0.29,1,Greene
0,36,1,21.6,3,4,0,0,1,0.42,0,Hancock
0,41,1,25.6,5,10,0,0,0,0.32,0,Wilkes
0,51,1,35,3,6,0,0,0,0.28,0,Jasper
0,51,1,35.8,4,8,0,0,0,0.26,1,Jasper
0,45,1,28.6,0,0,0,0,0,0.26,1,Taliaferro
0,49,1,36.3,1,0,0,0,0,0.31,0,Greene
0,36,1,20,0,1,0,0,1,0.31,0,Greene
0,44,2,26.5,2,1,0,0,1,0.34,0,Wilkes
0,44,1,27.9,2,3,0,0,0,0.36,0,Jasper
0,43,2,26.7,0,0,0,0,0,0.33,0,Lincoln
0,48,1,32.9,2,3,0,0,0,0.26,0,Lincoln
0,36,1,16.9,3,5,0,0,0,0.31,0,Lincoln
0,45,1,28.5,0,0,0,0,0,0.3,1,Taliaferro
0,54,1,40.5,1,0,0,0,0,0.29,0,Warren
0,44,1,30.1,1,0,0,0,0,0.44,1,Jasper
0,51,1,37,1,1,0,0,0,0.25,0,Lincoln
0,46,1,31.6,0,1,0,0,0,0.23,0,Hancock
0,51,1,35.5,0,0,0,0,0,0.33,0,Wilkes
0,39,2,21.8,2,1,0,0,0,0.32,1,Wilkes
0,58,2,43.9,3,5,0,0,1,0.4,1,Warren
0,41,1,27.3,1,3,0,0,0,0.35,1,Taliaferro
0,44,1,28.6,2,3,0,0,0,0.4,0,Greene
0,40,1,26.7,0,1,20,1,0,0.27,0,Lincoln
0,44,1,30.5,1,1,0,0,0,0.3,1,Greene
0,41,1,23.9,0,1,0,0,0,0.38,0,Hancock
0,47,1,31.9,0,0,0,0,0,0.3,0,Greene
0,49,1,33.6,1,2,0,0,0,0.28,0,Warren
0,37,1,20.7,2,2,0,0,0,0.37,0,Warren
0,43,1,27,1,4,0,0,0,0.3,1,Jasper
